"ชื่อบริษัท (Company Name)","ประเทศ/ที่ตั้ง (Location)","ภูมิภาค (Region)","กลุ่มอุตสาหกรรม (Industry)","ช่องทางการขาย (Sales Channel)","ผลิตภัณฑ์หลัก (Products)","ผู้ติดต่อประสานงาน (Contact Person)","อีเมล (Email)","เบอร์โทรศัพท์ (Phone)","เว็บไซต์ (Website)","ดึงเข้า CRM แล้ว (CRM Synced)","คะแนนคุณภาพ (Lead Score)","มูลค่า Lead (Lead Value)","มาตรฐานรับรอง (Certifications)","หมายเหตุฝ่ายขาย (Notes)"
"Sup Circuit Co., Ltd.","สมุทรปราการ, ประเทศไทย","ประเทศไทย","เครื่องใช้ไฟฟ้า (Home Appliance)","ขายออนไลน์ (Online Seller)","สายไฟประกอบสวิตช์ DIY และสายปลั๊กไฟอะไหล่แบรนด์ขายผ่านแพลตฟอร์มอีคอมเมิร์ซ","คุณวรทัต (วิศวกรผู้ออกแบบหลัก)","supcircuit.company@gmail.com","084-682-8008","http://www.supcircuit.co.th","ยังไม่ได้ดึง","68","180000","ISO 9001","เน้นการแพ็คสินค้าสินค้าสำเร็จรูปและขายปลีกผ่านช่องทางออนไลน์สำหรับกลุ่มผู้บริโภคทั่วไปและช่าง DIY"
"Leng Power Co., Ltd.","กรุงเทพฯ, ประเทศไทย","ประเทศไทย","เครื่องจักรเกษตร (Agricultural Machinery)","อู่/ร้านซ่อม (Repair Shop)","ชุดสายไฟไดชาร์จและระบบสวิตช์กุญแจรถเกี่ยวข้าวคูโบต้า/ยันม่าร์ (Agri Replacement Wires)","คุณวิชาญ (ผู้จัดซื้อสินค้าอุตสาหกรรม)","zata@lengpower.co.th","02-118-2785","http://www.lengpower.co.th","ยังไม่ได้ดึง","72","290000","ISO 9001","มีแม่แบบสำเร็จรูปสำหรับการผลิตสายไฟซ่อมสำหรับรถแทรกเตอร์ยอดนิยมในตลาดเมืองไทย"
"DT Wiring Systems (Thailand) Co., Ltd.","ชลบุรี, ประเทศไทย","ประเทศไทย","ยานยนต์ (Automotive)","OEM","ผลิตและจัดจำหน่ายสายไฟและชุดสายไฟสำหรับอุตสาหกรรมยานยนต์ (Automobile Wiring Harness)","คุณสุชาติ (ผู้จัดการฝ่ายวิศวกรรม)","contact@dtwiring.co.th","038-345-200","","ดึงแล้ว","100","28000000","IATF 16949, ISO 9001","โรงงานผลิตชุดสายไฟรถยนต์ขนาดใหญ่ในแถบชลบุรี รองรับงานประกอบ OEM แบบสายการผลิตอุตสาหกรรมหนัก"
"Aptiv PLC (Global Headquarters)","ดับลิน, ไอร์แลนด์ (HQ) & ทรอย, มิชิแกน, สหรัฐฯ (US Operations)","ต่างประเทศ","ยานยนต์ (Automotive)","ของแต่ง/อัปเกรด (Upgrade)","ชุดอัปเกรดระบบเชื่อมต่อสายไฟในรถยนต์และโมดูลแปลงไฟแรงสูงของรถยนต์ไฟฟ้า (EV Upgrade Kits)","Mr. Alan Smith (Procurement Director)","sales.na@aptiv.com","+1 248-447-1500","https://www.aptiv.com","ดึงแล้ว","92","3200000","IATF 16949, ISO 9001","จัดหาชุดแปลงและสายไฟฟ้าแต่งเพื่อแปลงพอร์ตชาร์จหรือสายไฟอัปเกรดประสิทธิภาพรถไฟฟ้า"
"Lear Corporation","มิชิแกน, สหรัฐอเมริกา (HQ)","ต่างประเทศ","ยานยนต์ (Automotive)","OEM","ระบบจัดการพลังงานและการเชื่อมต่อสัญญาณ (E-Systems), ชุดสายไฟและกล่องควบคุมระบบไฟฟ้า","Ms. Sarah Connor (Sourcing Manager)","info@lear.com","+1 (248) 447-1500","https://www.lear.com","ดึงแล้ว","100","45000000","IATF 16949, ISO 9001, ISO 14001","หนึ่งในบริษัท Fortune 500 ที่เป็นผู้นำด้านระบบส่งจ่ายพลังงานไฟฟ้าและเบาะนั่งรถยนต์ระดับโลก"
"Leoni AG","นูเรมเบิร์ก, ประเทศเยอรมนี (HQ)","ต่างประเทศ","อุตสาหกรรม (Industrial)","อะไหล่ทดแทน (Replacement)","สายควบคุมหุ่นยนต์และเครื่องทอผ้าอุตสาหกรรมสเปกทดแทน (Industrial Cable Harness)","Herr Klaus Schmidt (Europe Purchaser)","info@leoni.com","+49 911-281-0","https://www.leoni.com","ยังไม่ได้ดึง","88","1800000","IATF 16949, ISO 9001, ISO 13485","ผู้จัดหาสายเคเบิลทดแทนเพื่อการบำรุงรักษาในเครื่องจักรกลอุตสาหกรรมในทวีปยุโรป"
"Furukawa Electric Co., Ltd.","โตเกียว, ประเทศญี่ปุ่น (HQ)","ต่างประเทศ","ยานยนต์ (Automotive)","OEM","ชุดสายไฟยานยนต์ (Wiring Harnesses), เซนเซอร์ตรวจสอบสภาพแบตเตอรี่, ข้อต่อไฟฟ้าชนิดม้วน","Mr. Takashi Sato (R&D Lead)","tokyo.sales@furukawa.co.jp","+81-3-3286-3001","https://www.furukawa.co.jp/en/","ยังไม่ได้ดึง","100","35000000","ISO 9001, IATF 16949","บริษัทยักษ์ใหญ่ของญี่ปุ่นที่มีความเชี่ยวชาญการผลิตสายเคเบิลและสายไฟสำหรับอุตสาหกรรมโทรคมนาคมและยานยนต์"
"Fujikura Ltd.","โตเกียว, ประเทศญี่ปุ่น (HQ)","ต่างประเทศ","ยานยนต์ (Automotive)","ของแต่ง/อัปเกรด (Upgrade)","แผ่นวงจร FPC และชุดสายไฟทนทานสูงอัปเกรดระบบพวงมาลัยมัลติฟังก์ชันรถยนต์หรู","Mr. Kenji Tanaka (Technical Buyer)","global.sales@fujikura.co.jp","+81-3-5606-1111","https://www.fujikura.co.jp/eng/","ยังไม่ได้ดึง","92","2400000","ISO 9001, IATF 16949, ISO 14001","จัดจำหน่ายโมดูลสายไฟชุดแต่งสำหรับตลาดผู้บริโภคระดับพรีเมียมในญี่ปุ่นและทั่วโลก"
"Draxlmaier Group","วิลส์บิเบิร์ก, ประเทศเยอรมนี (HQ)","ต่างประเทศ","ยานยนต์ (Automotive)","ของแต่ง/อัปเกรด (Upgrade)","ชุดแต่งสายไฟประดับไฟ LED และบรรยากาศรอบห้องโดยสารรถยนต์พรีเมียม (Ambient Lighting Upgrade Kits)","Mr. Hans Gruber (Component Engineer)","info@draexlmaier.com","+49 8741-47-0","https://www.draexlmaier.com","ดึงแล้ว","92","2800000","IATF 16949, ISO 9001","ผู้ออกแบบสายเคเบิลประดับไฟตกแต่งห้องโดยสารพรีเมียมสำหรับตลาดแต่งรถระดับหรู"
"WIRINGO","เหอเป่ย, ประเทศจีน (HQ) & คาวิเต, ฟิลิปปินส์ (โรงงานผลิต)","ต่างประเทศ","อุตสาหกรรม (Industrial)","OEM","ออกแบบต้นแบบและรับจ้างผลิตชุดสายไฟทุกรูปแบบ (Custom Wire Harness & Cable Assembly), Box Build","Mr. John Chen (Asia Sales Liaison)","sales@wiringo.com","+86 (311) 8693-5537","https://www.wiringo.com","ยังไม่ได้ดึง","100","7500000","ISO 9001, IATF 16949, ISO 13485","มีความยืดหยุ่นสูง มีโรงงานในจีนและฟิลิปปินส์ รองรับความต้องการสายเชื่อมต่อเฉพาะทางในอุตสาหกรรมหลากหลาย"
